tweet_id,favorites,retweets,user_followers
892420643555336193,36132,7695,8781173
892177421306343426,31153,5690,8781173
891815181378084864,23473,3774,8781173
891689557279858688,39410,7859,8781173
891327558926688256,37640,8467,8781173
891087950875897856,18967,2838,8781173
890971913173991426,11035,1846,8781173
890729181411237888,60851,17165,8781173
890609185150312448,26088,3908,8781173
890240255349198849,29845,6677,8781173
890006608113172480,28716,6663,8781173
889880896479866881,26117,4539,8781173
889665388333682689,44962,9102,8781173
889638837579907072,25322,4078,8781173
889531135344209921,14174,2052,8781173
889278841981685760,23590,4853,8781173
888917238123831296,27223,4095,8781173
888804989199671297,23948,3860,8781173
888554962724278272,18479,3169,8781173
888078434458587136,20397,3157,8781173
887705289381826560,28304,4905,8781173
887517139158093824,43411,10722,8781173
887473957103951883,64330,16370,8781173
887343217045368832,31497,9534,8781173
887101392804085760,28655,5429,8781173
886983233522544640,32662,6983,8781173
886736880519319552,11221,2929,8781173
886680336477933568,21035,4075,8781173
886366144734445568,19779,2884,8781173
886267009285017600,110,4,8781173
886258384151887873,26195,5752,8781173
886054160059072513,0,100,8781173
885984800019947520,30481,6115,8781173
885528943205470208,33642,5820,8781173
885518971528720385,19165,3400,8781173
885311592912609280,0,16865,8781173
885167619883638784,20488,3981,8781173
884925521741709313,72149,16471,8781173
884876753390489601,26052,5081,8781173
884562892145688576,22733,4280,8781173
884441805382717440,25363,5189,8781173
884247878851493888,67921,18499,8781173
884162670584377345,19106,2730,8781173
883838122936631299,20467,3131,8781173
883482846933004288,42888,9001,8781173
883360690899218434,21218,3367,8781173
883117836046086144,34726,6050,8781173
882992080364220416,22348,3547,8781173
882762694511734784,26458,4451,8781173
882627270321602560,26208,5534,8781173
882268110199369728,41952,10551,8781173
882045870035918850,27438,4455,8781173
881906580714921986,22782,3095,8781173
881666595344535552,47401,9727,8781173
881633300179243008,117,7,8781173
881536004380872706,46294,14546,8781173
881268444196462592,21752,4805,8781173
880935762899988482,16006,2542,8781173
880872448815771648,19929,3490,8781173
880465832366813184,26669,5669,8781173
880221127280381952,25240,3800,8781173
880095782870896641,25843,3955,8781173
879862464715927552,20963,3188,8781173
879674319642796034,296,10,8781173
879492040517615616,21995,2907,8781173
879415818425184262,99032,40537,8781173
879376492567855104,15738,2854,8781173
879130579576475649,0,6202,8781173
